Timestamp (ms),X: (degree per second),Y: (degree per second),Z: (degree per second)
76909,203.699997,-225.330002,-56.980000, 
76987,93.239998,-84.489998,-4.200000, 
77065,49.560001,-19.320000,-6.300000, 
77143,-10.640000,-85.540001,40.250000, 
77221,-26.740000,26.740000,54.950001, 
77300,13.020000,18.760000,129.710007, 
77378,24.920000,10.430000,79.169998, 
77457,54.389999,-14.840000,64.120003, 
77535,9.590000,2.380000,88.199997, 
77613,-3.080000,45.150002,85.190002, 
77692,78.750000,-23.590000,68.529999, 
77770,-27.650000,-12.460000,63.139999, 
77848,-78.820000,14.840000,43.259998, 
77926,-7.140000,-12.250000,-5.600000, 
78004,17.219999,-12.320000,-9.030000, 
78083,24.360001,3.360000,9.170000, 
78162,15.610000,2.100000,4.130000, 
78240,16.660000,-7.000000,15.260000, 
78318,-4.480000,-0.770000,4.130000, 
78396,-0.700000,-15.330000,-13.090000, 
78474,132.229996,-47.459999,8.120000, 
78553,171.080002,-47.389999,19.389999, 
78631,154.070007,-28.770000,21.910000, 
78709,118.160004,2.310000,21.840000, 
78788,-1679.790039,1564.150024,-373.029999, 
78866,-397.459991,619.570007,-180.039993, 
78945,53.410000,141.190002,-44.310001, 
79023,-42.700001,62.510002,-5.950000, 
79101,-40.950001,-10.710000,-2.240000, 
79179,-9.030000,-53.340000,0.700000, 
79257,1.120000,-75.529999,14.070000, 
79335,13.370000,-50.889999,23.940001, 
79415,30.520000,-20.650000,19.600000, 
79493,38.220001,3.850000,24.570000, 
79571,4.760000,10.850000,9.590000, 
79649,-7.980000,28.490000,3.080000, 
79727,10.640000,12.040000,13.230000, 
79806,1.120000,11.900000,10.780000, 
79884,2.800000,14.350000,3.920000, 
79962,-2.730000,-5.810000,4.830000, 
80041,-49.209999,0.350000,-7.070000, 
80119,-72.449997,-6.510000,-18.690001, 
80198,-12.530000,-122.570000,-399.769989, 
80276,51.450001,-6.790000,-133.490005, 
80354,41.650002,29.260000,-26.670000, 
80432,20.860001,-0.490000,12.810000, 
80510,6.720000,-3.780000,28.420000, 
80588,-2.310000,7.910000,28.490000, 
80667,2.940000,16.379999,67.620003, 
80746,-20.930000,11.760000,68.809998, 
80824,-55.160000,-37.380001,10.990000, 
80902,-47.599998,-64.750000,-22.540001, 
80980,21.420000,-148.119995,-45.150002, 
81059,25.969999,-111.440002,-33.389999, 
81137,3.850000,-48.930000,-19.809999, 
81215,-4.620000,-15.330000,-20.230000, 
81293,7.000000,8.050000,2.660000, 
81372,4.760000,11.690000,-2.730000, 
81451,0.280000,13.650000,-3.780000, 
81529,6.160000,3.220000,2.660000, 
81607,12.530000,-14.980000,-12.670000, 
81685,63.840000,-80.360001,11.200000, 
81763,78.820000,-87.709999,23.240000, 
81841,74.690002,-58.590000,25.059999, 
81920,64.820000,-10.710000,24.430000, 
81999,51.099998,53.480000,21.420000, 
82077,358.540009,240.729996,97.720001, 
82155,-18.760000,174.930008,42.560001, 
82233,-48.230000,87.779999,3.570000, 
82312,-24.920000,11.060000,0.770000, 
82390,-16.379999,-88.340004,-12.950000, 
82468,-17.850000,-83.160004,3.220000, 
82546,12.250000,-61.040001,35.770000, 
82625,-12.110000,-39.900002,45.709999, 
82704,-21.139999,-20.160000,37.520000, 
82782,-13.510000,-0.840000,9.870000, 
82860,11.620000,6.860000,4.200000, 
82938,1.820000,23.240000,2.730000, 
83016,-3.710000,15.120000,4.340000, 
83094,-2.380000,6.860000,11.620000, 
83173,-10.010000,20.580000,15.120000, 
83251,-25.340000,25.480000,5.950000, 
83330,-5.950000,25.270000,12.670000, 
83408,-10.500000,8.960000,6.650000, 
83486,22.400000,130.830002,-89.389999, 
83565,-53.970001,11.970000,32.200001, 
83643,-20.790001,142.100006,-44.939999, 
83721,-13.860000,193.270004,-21.629999, 
83799,-32.900002,338.170013,65.519997, 
83877,-81.340004,268.239990,37.240002, 
83957,25.900000,542.289978,17.500000, 
84035,-51.099998,216.580002,-29.610001, 
84113,-59.920002,48.930000,-80.290001, 
84191,-39.340000,33.670002,-38.430000, 
84269,-55.090000,4.550000,-13.860000, 
84347,-20.230000,3.640000,-4.200000, 
84426,2.660000,6.440000,-12.180000, 
84504,1.330000,2.730000,-6.160000, 
84583,-3.360000,-1.680000,-3.080000, 
84661,-2.030000,-0.700000,-2.030000, 
84739,-1.960000,0.630000,-0.490000, 
84818,0.420000,1.540000,1.190000, 
84896,-0.700000,0.560000,-1.400000, 
84974,-2.030000,0.000000,-2.870000, 
85052,-0.210000,3.850000,-14.000000, 
85130,0.210000,4.690000,-10.080000, 
85209,5.880000,15.540000,-11.760000, 
85288,-5.530000,17.360001,4.690000, 
85366,-2.730000,4.760000,1.400000, 
85444,-3.500000,-0.420000,-1.260000, 
85522,-8.050000,-0.490000,2.380000, 
85601,-0.630000,3.990000,-5.040000, 
85679,6.720000,12.180000,4.830000, 
85757,26.740000,40.670002,42.279999, 
85835,122.010002,98.629997,-44.799999, 
85914,590.869995,-317.309998,-120.959999, 
85992,-85.190002,-368.200012,-588.349976, 
86071,531.090027,-13.370000,479.290009, 
86149,-204.820007,-125.160004,236.040009, 
86227,-271.600006,-215.180008,-118.930000, 
86305,1042.300049,-270.339996,143.009995, 
